Year,Port Name,Direction,Cargo Group Name,Tonnage,Published Port Lat,Published Port Long
2000,London,Outwards,Dry Bulk,1975,51.50694,-0.072797405
2000,London,Outwards,Liquid Bulk,2888,51.50694,-0.072797405
2000,London,Outwards,Lo-Lo,2253,51.50694,-0.072797405
2000,London,Outwards,Main Freight,4369,51.50694,-0.072797405
2000,London,Outwards,Other General Cargo,254,51.50694,-0.072797405
2000,London,Outwards,Ro-Ro Non-SP,2052,51.50694,-0.072797405
2000,London,Outwards,Ro-Ro Self-Prop,428,51.50694,-0.072797405
2000,Londonderry,Inwards,All Cargo,1115,54.9978678,-7.3213056
2000,Londonderry,Inwards,Dry Bulk,726,54.9978678,-7.3213056
2000,Londonderry,Inwards,Liquid Bulk,372,54.9978678,-7.3213056
2000,Londonderry,Inwards,Other General Cargo,17,54.9978678,-7.3213056
2000,Londonderry,Outwards,All Cargo,18,54.9978678,-7.3213056
2000,Londonderry,Outwards,Dry Bulk,14,54.9978678,-7.3213056
2000,Londonderry,Outwards,Other General Cargo,5,54.9978678,-7.3213056
2000,Manchester,Inwards,All Cargo,2689,53.472005,-2.2985689
2000,Manchester,Inwards,Dry Bulk,1209,53.472005,-2.2985689
2000,Manchester,Inwards,Liquid Bulk,1433,53.472005,-2.2985689
2000,Manchester,Inwards,Lo-Lo,3,53.472005,-2.2985689
2000,Manchester,Inwards,Main Freight,3,53.472005,-2.2985689
2000,Manchester,Inwards,Other General Cargo,44,53.472005,-2.2985689
2000,Manchester,Outwards,All Cargo,4998,53.472005,-2.2985689
2000,Manchester,Outwards,Dry Bulk,660,53.472005,-2.2985689
2000,Manchester,Outwards,Liquid Bulk,4296,53.472005,-2.2985689
2000,Manchester,Outwards,Lo-Lo,6,53.472005,-2.2985689
2000,Manchester,Outwards,Main Freight,6,53.472005,-2.2985689
2000,Manchester,Outwards,Other General Cargo,36,53.472005,-2.2985689
2000,Medway,Inwards,All Cargo,12880,51.406817,0.54407446
2000,Medway,Inwards,Dry Bulk,5723,51.406817,0.54407446
2000,Medway,Inwards,Liquid Bulk,2188,51.406817,0.54407446
2000,Medway,Inwards,Lo-Lo,2267,51.406817,0.54407446
2000,Medway,Inwards,Main Freight,2268,51.406817,0.54407446
2000,Medway,Inwards,Other General Cargo,2278,51.406817,0.54407446
2000,Medway,Inwards,Ro-Ro Non-SP,0,51.406817,0.54407446
2000,Medway,Inwards,Ro-Ro Self-Prop,423,51.406817,0.54407446
2000,Medway,Outwards,All Cargo,2412,51.406817,0.54407446
2000,Medway,Outwards,Dry Bulk,205,51.406817,0.54407446
2000,Medway,Outwards,Liquid Bulk,62,51.406817,0.54407446
2000,Medway,Outwards,Lo-Lo,1871,51.406817,0.54407446
2000,Medway,Outwards,Main Freight,1874,51.406817,0.54407446
2000,Medway,Outwards,Other General Cargo,186,51.406817,0.54407446
2000,Medway,Outwards,Ro-Ro Non-SP,0,51.406817,0.54407446
2000,Medway,Outwards,Ro-Ro Self-Prop,85,51.406817,0.54407446
2000,Milford Haven,Inwards,All Cargo,20429,51.705196,-5.01372
2000,Milford Haven,Inwards,Dry Bulk,36,51.705196,-5.01372
2000,Milford Haven,Inwards,Liquid Bulk,19998,51.705196,-5.01372
